Brand,Model,Image,Price,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphic card,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight(kg),Dimensions(mm),Series,Touch Screen,Base Clock Speed,Graphics Processor,Product,Dedicated Graphics,HDMI Port,Battery life,Dedicated Graphic Memory Type,Expandable RAM up to (GB)
HP,Pavilion 15-ab032tx,https://i.gadgets360cdn.com/products/laptops/large/1525204301_635_pavilion-15-ab032tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 53,800",8GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-ab032tx,Intel Core i5 5th Gen 5200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n,2.29,384.50 x 261.10 x 25.20,Pavilion,No,2.2 GHz,Nvidia GeForce 940M,"HP 15-AB032TX Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",Yes,Standard,,DDR3L,16GB
HP,Pavilion 15-au084tx,https://i.gadgets360cdn.com/products/laptops/large/1525206222_635_pavilion-15-au084tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 58,174",4GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au084tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,Pavilion,No,2.3 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU084TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",Yes,Standard,,DDR3,16GB
Asus,R558UF-DM176D,https://i.gadgets360cdn.com/products/laptops/large/1525206020_635_r558uf-dm176d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 40,900",4GB,15.60-inch,No,Red,Windows 10 Home,1TB,R558UF-DM176D,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,Yes,,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 258.00 x 25.50,X Series,No,2.3 GHz,Nvidia GeForce 930M,"Asus R558UF-DM176D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Red, 15.6 inch)",Yes,Standard,6,DDR3,12GB
HP,Pavilion 15-au006tx,https://i.gadgets360cdn.com/products/laptops/large/1525206216_635_pavilion-15-au006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 59,355",8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au006tx,Intel Core i5 6th Gen 6200U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,Pavilion,No,2.3 GHz,AMD Radeon R5 M430,"HP Pavilion 15-AU006TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",Yes,Standard,,DDR3,16GB
Acer,Aspire E E5-575,https://i.gadgets360cdn.com/products/laptops/large/1525207602_635_aspire-e-e5-575.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 26,980",4GB,15.60-inch,No,Black,Windows 10 Home,1TB,E5-575,Intel Core i5 7th Gen 7200U,Intel HD Graphics 520,No,No,1366x768 pixels,802.11 ac,2.2,381.60 x 259.00 x 30.20,Aspire E,No,2.3 GHz,Intel HD Graphics 520,"Acer Aspire E E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",No,Yes,5,DDR4,32GB
HP,Pavilion 15-ac121tx,https://i.gadgets360cdn.com/products/laptops/large/1525204274_635_pavilion-15-ac121tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 38,900",4GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-ac121tx,Intel Core i3 5th Gen 5020U,AMD Radeon R5 M330,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,Pavilion,No,2 GHz,AMD Radeon R5 M330,"HP Pavilion 15-AC121TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, White)",Yes,Standard,4,GDDR3,8GB
Asus,X540SA-XX311D,https://i.gadgets360cdn.com/products/laptops/large/1525205943_635_x540sa-xx311d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 19,999",4GB,15.60-inch,No,Chocolate Black Imr With Hairline,DOS,500GB,X540SA-XX311D,Intel Celeron Dual Core 6th Gen N3060,Intel Integrated Graphics,No,No,1366x768 pixels,802.11 b/g/n,2,381.00 x 252.00 x 25.40,X Series,No,,Intel Integrated Graphics,"Asus X540SA-XX311D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Gold, 15.6 inch)",No,Standard,4.5,,4GB
HP,Pavilion 15-au624tx,https://i.gadgets360cdn.com/products/laptops/large/1525207794_635_pavilion-15-au624tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 62,000",4GB,15.60-inch,No,Silver,Windows 10 Home,1TB,15-au624tx,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,,383.00 x 243.00 x 22.50,Pavilion,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU624TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",Yes,Standard,5,DDR3,4GB
Acer,Aspire E5-575,https://i.gadgets360cdn.com/products/laptops/large/1525207596_635_aspire-e5-575.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 40,999",4GB,15.60-inch,No,Black,Linux,1TB,E5-575,Intel Core i5 7th Gen 7200U,Intel HD Graphics 620,No,No,1366x768 pixels,,2.2,381.60 x 259.00 x 30.20,Aspire,No,2.5 GHz,Intel HD Graphics 620,"Acer Aspire E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",No,Standard,5,DDR4,32GB
Lenovo,Z51 70,https://i.gadgets360cdn.com/products/laptops/large/1525204431_635_z51-70.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 55,000",8GB,15.60-inch,No,Black,Windows 10 Home,1TB,Z51 70,Intel Core i5 5th Gen 5200U,AMD Radeon Tropo XT2,Yes,,1920x1080 pixels,802.11 ac,2.3,384.00 x 265.00 x 24.60,,No,2.2 GHz,AMD Radeon Tropo XT2,"Lenovo Z51 70 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,Standard,4,DDR3,16GB
