Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"HP Pavilion X360 11-N032TU Laptop (Windows 8.1, 4GB RAM, 500GB HDD, Intel Pentium, Red)",https://i.gadgets360cdn.com/products/laptops/large/1525202082_635_pavilion-x360-11-n032tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Pentium Quad Core 4th Gen N3540,4GB,500GB,No,Intel Integrated HD Graphics 4400,Windows 8.1,1366x768 pixels,308.00 x 215.00 x 21.90,1.4,4.5,"₹ 32,000"
"HP Compaq 15-S105TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Grey)",https://i.gadgets360cdn.com/products/laptops/large/1525202345_635_15-s105tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 4th Gen 4210U,4GB,1TB,No,AMD Radeon R5 M330,DOS,1366x768 pixels,378.00 x 259.00 x 25.30,2.23,4.0,"₹ 31,999"
"HP Envy 15-W101TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525206086_635_envy-x360-15-w101tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 6th Gen 6500U,8GB,1TB,No,Nvidia GeForce 930M,Windows 10 Home,1920x1080 pixels,382.00 x 239.00 x 25.00,2.29,5.0,"₹ 59,999"
"Asus Rog GL552VW-CN430T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205930_635_rog-cn430t-gl552vw.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 6th Gen 6700HQ,8GB,1TB,No,Nvidia GeForce GTX 960M,Windows 10 Home,1920x1080 pixels,385.00 x 255.00 x 32.40,2.59,3.5,"₹ 89,990"
"Asus K555LB-DM109T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Blue, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204145_635_k555lb-dm109t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 5th Gen 5200U,8GB,1TB,No,Nvidia GeForce 940M,Windows 10 Home,1920x1080 pixels,382.00 x 256.00 x 25.80,2.4,4.0,"₹ 49,700"
"Asus R558UR-DM069D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205924_635_r558ur-dm069d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 6th Gen 6200U,4GB,1TB,No,Nvidia GeForce 930MX,DOS,1920x1080 pixels,382.00 x 256.00 x 25.80,2.4,4.5,"₹ 40,990"
"Asus Rog Strix GL502VT-FY026T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205937_635_rog-strix-gl502vt-fy026t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 6th Gen 6700HQ,8GB,1TB,256GB,Nvidia,Windows 10 Home,1920x1080 pixels,390.00 x 266.00 x 23.50,2.0,6.0,"₹ 114,900"
"Dell Latitude 3550 Laptop (Linux, 4GB RAM, 500GB HDD, Intel Core i3, Black, 15.5 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525202049_635_latitude-3550.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i3 4th Gen 4005U,4GB,500GB,No,Intel Integrated HD Graphics 4400,Linux,1366x768 pixels,376.00 x 259.00 x 20.30,2.0,6.0,"₹ 27,990"
"Acer Predator G9-792 Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Red, 17.3 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205905_635_predator-g9-792.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i7 6th Gen 6700HQ,16GB,1TB,128GB,Nvidia GeForce GTX 980M,Windows 10 Home,1920x1080 pixels,423.00 x 321.50 x 39.70,4.2,7.0,"₹ 179,999"
"Dell Vostro 2520 Laptop (Linux, 2GB RAM, 320GB HDD, Intel Pentium, Grey, 14 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525200129_635_vostro-2520.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 3rd Gen 3230M,4GB,500GB,No,AMD Radeon R5 M335,Linux,1366x768 pixels,376.00 x 260.00 x 34.50,2.36,3.0,"₹ 30,000"
